Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
226,Kris Humphries,PF,29,WAS,1345,211,446,87,117,130,509
16,Kyle Anderson,SF,21,SAS,358,31,89,9,14,28,74
266,Kyle Korver,SG,33,ATL,2418,292,600,106,118,140,911
289,Kyle Lowry,PG,28,TOR,2414,430,1043,252,312,212,1244
350,Kyle O'Quinn,PF,24,ORL,824,119,242,44,57,110,294
410,Kyle Singler,SF,26,OKC,456,32,96,11,16,55,95
231,Kyrie Irving,PG,22,CLE,2730,578,1235,315,365,146,1628
9,LaMarcus Aldridge,PF,29,POR,2512,659,1415,306,362,125,1661
423,Lance Stephenson,SG,24,CHO,1573,207,550,69,110,134,501
437,Lance Thomas,PF,26,NYK,1040,137,316,49,66,63,330
154,Landry Fields,SF,26,TOR,216,20,41,5,6,9,46
163,Langston Galloway,PG,23,NYK,1457,204,511,63,78,129,533
134,Larry Drew,PG,24,PHI,219,20,58,2,3,13,46
400,Larry Sanders,C,26,MIL,586,86,172,24,48,104,196
10,Lavoy Allen,PF,25,IND,1070,141,299,33,47,102,315
235,LeBron James,SF,30,CLE,2493,624,1279,375,528,135,1743
29,Leandro Barbosa,SG,32,GSW,982,183,386,58,74,87,467
224,Lester Hudson,SG,30,LAC,56,6,14,3,4,4,18
65,Lorenzo Brown,PG,24,MIN,549,52,122,12,19,49,122
13,Lou Amundson,PF,32,NYK,858,105,243,38,82,115,248
478,Lou Williams,SG,28,TOR,2016,375,928,340,395,103,1242
303,Luc Mbah a Moute,PF,28,PHI,1916,251,636,96,163,104,660
345,Lucas Nogueira,C,22,TOR,23,2,8,2,4,6,6
115,Luigi Datome,SF,27,BOS,192,38,77,1,1,14,94
402,Luis Scola,PF,34,IND,1659,300,642,158,226,192,763
27,Luke Babbitt,SF,25,NOP,830,92,192,13,19,63,256
384,Luke Ridnour,PG,33,ORL,683,75,176,18,21,67,188
124,Luol Deng,SF,29,MIA,2421,369,787,191,251,109,1007
278,Malcolm Lee,SG,24,PHI,2,0,1,0,0,0,0
438,Malcolm Thomas,PF,26,PHI,194,18,40,9,13,17,45
172,Manu Ginobili,SG,37,SAS,1587,251,589,147,204,138,738
166,Marc Gasol,C,30,MEM,2687,530,1072,350,440,208,1413
180,Marcin Gortat,C,30,WAS,2453,439,775,123,175,191,1001
43,Marco Belinelli,SG,28,SAS,1388,199,470,84,99,85,568
331,Marcus Morris,PF,25,PHO,2045,331,763,71,113,188,845
412,Marcus Smart,PG,20,BOS,1808,175,477,82,127,176,523
444,Marcus Thornton,SG,27,PHO,81,13,40,4,5,3,32
88,Mario Chalmers,PG,28,MIA,2368,267,663,206,266,251,813
66,Markel Brown,SG,23,BRK,781,76,210,47,57,57,216
332,Markieff Morris,PF,25,PHO,2581,512,1100,177,232,245,1258
420,Marreese Speights,PF,27,GSW,1207,318,646,150,178,189,791
468,Martell Webster,SF,28,WAS,352,24,91,48,64,24,106
479,Marvin Williams,PF,28,CHO,2035,210,495,62,87,146,577
367,Mason Plumlee,C,24,BRK,1743,280,489,157,317,207,717
33,Matt Barnes,SF,34,LAC,2271,277,624,74,95,240,764
56,Matt Bonner,PF,34,SAS,935,94,230,30,37,65,264
123,Matthew Dellavedova,SG,24,CLE,1380,111,307,29,38,152,319
198,Maurice Harkless,SF,21,ORL,674,63,158,22,41,66,158
281,Meyers Leonard,C,22,POR,847,125,245,30,32,113,327
42,Michael Beasley,SF,26,MIA,505,92,212,20,26,66,212
86,Michael Carter-Williams,PG,23,MIL,758,132,308,85,109,64,353
261,Michael Kidd-Gilchrist,SF,21,CHO,1587,224,482,150,214,115,598
100,Mike Conley,PG,27,MEM,2225,393,882,214,249,139,1107
138,Mike Dunleavy,SF,34,CHI,1838,209,481,70,87,123,595
320,Mike Miller,SF,34,CLE,701,37,114,3,4,74,109
338,Mike Muscala,PF,23,ATL,502,83,151,22,25,52,197
403,Mike Scott,PF,26,ATL,1123,201,453,61,77,83,529
368,Miles Plumlee,C,26,MIL,189,29,59,3,8,12,61
377,Miroslav Raduljica,C,27,MIN,23,3,8,2,2,8,8
